482	3907	2
482	26851	3
482	32019	1
482	41406	1
482	49121	1
482	50239	1
482	55109	1
482	63747	1
482	92334	1
482	92506	2
676	23764	2
676	33854	11
676	39633	1
676	39638	5
676	59350	2
897	1129	4
897	3305	1
897	23341	1
897	25183	2
897	25196	6
897	28317	1
897	63217	4
897	82726	12
897	85714	8
897	91265	4
897	94979	4
1129	40361	1
1129	94979	13
1233	26851	1
1233	92506	4
2208	3907	2
2208	10874	4
2208	14751	1
2208	30528	1
2208	34584	2
2208	36692	1
2208	49002	1
2208	49107	1
2208	49121	1
2208	49142	1
2208	49974	1
2208	59490	1
2208	82633	2
2208	90301	7
2208	90326	1
2208	93664	1
2208	95445	1
2208	95472	1
2208	95478	3
2208	95515	1
2208	95638	2
2978	19891	4
2978	26851	2
2978	40604	3
2978	49063	2
2978	50060	1
2978	50088	1
2978	62288	16
2978	82647	1
2978	92506	1
2978	93149	1
2978	93194	2
3305	14767	1
3305	21212	1
3305	29200	3
3305	73154	1
3305	85714	1
3907	10874	14
3907	16081	1
3907	26851	39
3907	34584	3
3907	40604	2
3907	53285	1
3907	55109	5
3907	64102	1
3907	64743	1
3907	72180	8
3907	93737	7
3907	95258	1
4228	43047	1
4228	51569	7
4228	69661	4
4228	76832	1
4228	89236	2
4228	90294	1
4228	95410	6
5444	14609	2
5444	14657	1
5444	14751	1
5444	14773	1
5444	14787	1
5444	14797	5
5444	14822	1
5444	16436	2
5444	28002	7
5444	30147	1
5444	36577	2
5444	36725	1
5444	36751	1
5444	36757	1
5444	39633	1
5444	48177	1
5444	48970	1
5444	49002	1
5444	49020	1
5444	49044	1
5444	49054	2
5444	49068	2
5444	50088	1
5444	50097	1
5444	50110	1
5444	68622	1
5444	80333	1
5444	86367	14
5444	90154	1
5444	90223	1
5444	90364	2
5444	92700	1
5444	93149	2
5444	93205	1
5444	94461	1
5444	95470	1
5444	95495	1
5444	95546	2
5444	95861	1
6861	20451	1
6861	29200	2
6861	30528	3
6861	32019	1
6861	47857	15
6861	57645	8
6861	65754	2
6861	94505	1
7455	23686	1
7455	27424	2
7455	79011	1
7455	83607	2
7455	92334	1
7455	95891	1
8151	28002	3
8151	33628	1
8151	46672	1
8151	53160	15
8151	62288	1
8151	66417	3
8151	73239	3
8151	86823	5
8151	92334	1
10839	25183	18
10874	30528	3
10874	34584	3
10874	46672	12
10874	49971	1
10874	64102	4
10874	64743	8
10874	85714	3
10874	90160	4
12326	29808	1
12326	43047	1
12326	76832	2
12326	85199	1
12326	89236	1
12326	95529	1
12411	14078	2
12411	14767	9
12411	36566	13
12411	39579	2
12411	48996	1
12411	49020	1
12411	49107	1
12411	49121	1
12411	49974	1
12411	50008	1
12411	50019	1
12411	50052	6
12411	50066	2
12411	51196	1
12411	54211	2
12411	61083	2
12411	68622	1
12411	78107	1
12411	85083	1
12411	85880	1
12411	86411	3
12411	90186	1
12411	90192	2
12411	90251	1
12411	92334	5
12411	92623	1
12411	92700	1
12411	93022	2
12411	93030	1
12411	93171	1
12411	93632	1
12411	93636	1
12411	93664	1
12411	94453	1
12411	94498	3
12411	94505	2
12411	95454	2
12411	95472	1
12411	95490	1
12411	95560	1
12411	95602	1
12411	95615	6
12411	95829	1
12411	95831	1
12411	95872	2
12411	95929	1
12862	14078	1
12862	14767	1
12862	14797	1
12862	31932	2
12862	36553	2
12862	39579	2
12862	48355	1
12862	48996	1
12862	49044	2
12862	49063	2
12862	49098	1
12862	49107	2
12862	49121	2
12862	50088	1
12862	50110	1
12862	50872	1
12862	80333	1
12862	86411	2
12862	90287	1
12862	90319	1
12862	90326	1
12862	90364	2
12862	92711	1
12862	93632	1
12862	95486	1
12862	95529	1
12862	95546	2
12862	95872	1
14078	14767	5
14078	25274	1
14078	39579	16
14078	41406	1
14078	46119	2
14078	49107	1
14078	49142	1
14078	50019	2
14078	50124	1
14078	51595	1
14078	86411	29
14078	90205	2
14078	90391	1
14078	92677	1
14078	92700	1
14078	93136	1
14078	93141	1
14078	93580	1
14078	94498	4
14078	95454	2
14078	95472	2
14078	95546	2
14078	95560	11
14078	95864	1
14609	14657	2
14609	14822	1
14609	21028	1
14609	28002	1
14609	30147	1
14609	34211	1
14609	34213	3
14609	36605	1
14609	39543	1
14609	39638	1
14609	49020	1
14609	49054	1
14609	49107	1
14609	49121	3
14609	50097	1
14609	50100	1
14609	50124	5
14609	51569	2
14609	80304	1
14609	83932	1
14609	85083	1
14609	86367	1
14609	90160	2
14609	90294	2
14609	90340	1
14609	90364	2
14609	92623	1
14609	92693	1
14609	93034	2
14609	93151	1
14609	93205	1
14609	93211	2
14609	93601	1
14609	93632	1
14609	94461	1
14609	94498	1
14609	95410	1
14609	95454	1
14609	95472	1
14609	95515	2
14609	95638	1
14609	95645	1
14609	95840	1
14609	95899	1
14609	95932	2
14613	14711	1
14613	14743	1
14613	14787	2
14613	21523	1
