id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
49971	liu b.	-0.854	0.0568	1	60	105	68	295	65.9456	2013.6912	4.3382	0.9698
49974	liu c.	-0.3834	0.4225	1	72	107	67	411	59.429	2013.8806	6.1343	0.887
49976	liu c.-h.	-0.966	0.4475	10	2	2	21	122	15.4573	2013.619	5.8095	0.7361
49990	liu d.	0.0198	0.1551	9	43	56	34	116	17.602	2014.0588	3.4118	0.5177
49999	liu f.	-0.5392	-0.1791	1	46	59	34	131	32.0936	2014.5588	3.8529	0.9439
50008	liu g.	-0.6497	-0.0661	10	41	49	23	48	6.5617	2014.6522	2.087	0.2853
50019	liu h.	-0.7276	-0.1271	10	101	201	132	972	144.5612	2013.6136	7.3636	1.0952
50036	liu j.	-0.7071	-0.0658	1	118	221	124	478	98.4157	2015.3065	3.8548	0.7937
50052	liu k.	-0.0426	0.2446	10	24	37	30	168	37.9161	2013.9667	5.6	1.2639
50060	liu l.	-0.9312	0.0402	1	52	77	44	157	43.6944	2014.0682	3.5682	0.9931
50066	liu m.	-0.36	0.0245	6	37	44	24	64	10.5196	2014.3333	2.6667	0.4383
50075	liu p.	-0.8651	0.2567	1	45	63	39	164	26.0855	2015.9744	4.2051	0.6689
50079	liu q.	-0.8174	0.1891	1	41	52	41	137	24.9051	2015.0976	3.3415	0.6074
50088	liu s.	-0.2505	-0.2271	1	99	150	95	646	88.0778	2014.5158	6.8	0.9271
50097	liu t.	-0.6954	0.441	1	37	63	42	339	69.2375	2015.5952	8.0714	1.6485
50100	liu w.	-0.3706	-0.2525	4	74	104	57	233	42.616	2015.3158	4.0877	0.7476
50110	liu x.	-0.1683	-0.0721	1	108	178	105	433	98.957	2015.6476	4.1238	0.9424
50124	liu y.	-0.6112	0.0206	1	133	330	177	901	273.5027	2015.8701	5.0904	1.5452
50146	liu z.	-0.7909	-0.1237	1	91	146	84	296	54.5913	2014.2976	3.5238	0.6499
50239	lo d.	0.1766	-0.0714	4	14	27	37	830	144.0251	2016	22.4324	3.8926
50285	lochau m.	0.4086	-0.0006	8	1	1	24	336	65.1198	2015.7917	14	2.7133
50835	lu j.	-0.0866	0.1008	9	33	46	26	90	17.9849	2015.6154	3.4615	0.6917
50846	lu l.	-0.841	-0.2765	4	34	37	23	63	11.3617	2013.087	2.7391	0.494
50848	lu m.	-1.0205	0.0481	1	14	24	20	49	5.8744	2012	2.45	0.2937
50860	lu s.	-0.0519	0.0186	4	17	25	23	526	53.848	2013.5652	22.8696	2.3412
50872	lu y.	-0.3303	-0.6065	12	55	104	62	326	45.5017	2013.7258	5.2581	0.7339
50884	lu z.	-0.7714	-0.2871	1	27	30	21	50	12.2064	2015.1429	2.381	0.5813
51196	luo q.	0.3701	-0.1397	8	12	29	23	350	51.6854	2014.4348	15.2174	2.2472
51205	luo y.	-0.8792	-0.2222	4	44	53	23	150	21.8558	2015.2174	6.5217	0.9503
51427	lyu m.r.	0.0688	-0.731	3	6	10	24	757	67.4131	2002.1667	31.5417	2.8089
51562	ma j.	-0.2412	-0.1045	6	44	50	29	194	86.5513	2015.069	6.6897	2.9845
51569	ma l.	0.2048	-0.3638	8	41	86	42	317	97.2813	2014.8333	7.5476	2.3162
51585	ma s.	-0.1803	-0.4302	4	15	21	20	62	16.6499	2015.45	3.1	0.8325
51595	ma x.	-0.4076	-0.3075	9	48	64	34	88	21.7763	2015.4118	2.5882	0.6405
51600	ma y.	-0.6442	0.2408	4	54	68	30	292	37.9928	2014.9	9.7333	1.2664
52510	maldonado j.c.	0.8776	0.6931	11	10	56	63	710	60.191	2008.9206	11.2698	0.9554
52537	malevris n.	1.2516	-0.0471	2	4	20	29	576	60.3785	2008.9655	19.8621	2.082
52550	malhotra r.	0.4406	0.806	7	1	1	22	250	38.6038	2015.2727	11.3636	1.7547
53057	mao c.	-0.8029	-0.6601	12	15	30	21	149	18.5013	2013.0952	7.0952	0.881
53160	marchetti e.	0.6095	-1.0692	14	2	18	24	260	31.6809	2011.9583	10.8333	1.32
53164	marchetto a.	1.1747	-0.2726	3	6	20	20	469	53.0267	2012.35	23.45	2.6513
